id,name,team,position,price,status,chance_of_playing,news,news_added,minutes,total_points,form,xG,xA,ict_index,defensive_contribution,selected_by_percent,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,starts,clean_sheets,goals_conceded,xGC,saves,cost_change_start
178,Bidwell,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
179,Latibeaudiere,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
180,Woolfenden,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
181,Brau,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
182,Amenda,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.8,,,,0,0,0,0.0,0,0
183,Rudoni,COV,MID,5.0,a,100,,2026-07-23T12:01:23.481435+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,1,3,0,0,0,0.0,0,0
184,Grimes,COV,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,3,,1,0,0,0,0.0,0,0
185,Sakamoto,COV,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
186,Mason-Clark,COV,MID,5.5,a,100,,2026-08-19T18:00:08.310507+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
187,Eccles,COV,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
188,Torp,COV,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,2,2,2,0,0,0,0.0,0,0
189,Shepherd,COV,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,,,,0,0,0,0.0,0,0
190,Tchaouna,COV,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,69.0,0.1,,,,0,0,0,0.0,0,0
191,Borges Rodrigues,COV,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
192,Andrews,COV,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.7,,,,0,0,0,0.0,0,0
193,Wright,COV,FWD,5.5,i,0,Thigh injury - Unknown return date,2026-08-14T22:00:07.214508+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.3,1,,,0,0,0,0.0,0,0
194,Thomas-Asante,COV,FWD,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.8,4,,,0,0,0,0.0,0,0
195,Simms,COV,FWD,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.9,,,,0,0,0,0.0,0,0
196,Markelo,COV,FWD,5.0,u,0,Has joined Shabab Al-Ahli Dubai permanently,2026-08-17T13:53:55.791223+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
197,Bassette,COV,FWD,4.5,u,0,Has joined KVC Westerlo on loan for the rest of the season,2026-07-28T12:58:50.001768+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
198,Henderson,CRY,GKP,5.0,d,75,Ankle injury - 75% chance of playing,2026-08-20T14:00:08.018379+00:00,3330,131,0.0,0.0,0.11,84.7,0.0,2.2,,,,37,11,51,51.4,106,0
199,Benitez,CRY,GKP,4.5,a,,,,90,7,0.0,0.0,0.0,2.3,0.0,0.1,,,,1,1,0,1.12,3,0
200,Lacroix,CHE,DEF,6.0,a,,,,3085,154,0.0,2.45,0.83,124.3,370.0,9.3,,,,35,11,47,44.04,0,0
201,Muñoz,CRY,DEF,5.5,a,,,,2400,136,0.0,2.45,3.94,139.5,196.0,9.9,,,,29,10,33,34.28,0,0
202,Richards,CRY,DEF,5.0,a,,,,2825,128,0.0,2.42,1.56,107.6,311.0,0.8,,,,31,11,42,41.19,0,0
203,Canvot,CRY,DEF,5.0,a,,,,1331,72,0.0,1.48,0.33,48.1,169.0,0.4,,,,14,5,23,23.84,0,0
204,Mitchell,CRY,DEF,4.5,a,,,,3253,135,0.0,1.59,2.53,136.0,245.0,6.4,,,,36,12,47,49.78,0,0
205,Sosa,CRY,DEF,4.5,a,,,,99,6,0.0,0.04,0.07,4.5,9.0,0.0,,,,0,0,2,0.9,0,0
206,Chadi Riad,CRY,DEF,4.5,a,,,,550,20,0.0,0.33,0.13,18.3,45.0,0.1,,,,6,1,8,9.09,0,0
207,Mingueza,CRY,DEF,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
208,Sarr,CRY,MID,6.5,a,,,,2173,117,0.0,10.93,1.17,135.1,137.0,5.0,2,,,24,9,29,31.25,0,0
209,Johnson,EVE,MID,6.0,a,,,,1710,65,0.0,2.45,1.31,75.8,121.0,0.2,,,,19,6,24,28.29,0,0
210,Wharton,CRY,MID,5.5,a,100,,2026-07-23T12:01:23.498963+00:00,2552,112,0.0,1.52,7.47,139.6,303.0,0.8,,,1,29,8,43,39.08,0,0
211,Yeremy,CRY,MID,5.5,a,,,,2074,77,0.0,4.53,6.12,141.4,167.0,0.2,,1,2,26,7,28,30.01,0,0
212,Hughes,CRY,MID,4.5,a,,,,1560,45,0.0,1.11,1.94,60.9,148.0,12.1,,,3,19,5,18,25.35,0,0
213,Lerma,CRY,MID,5.0,a,,,,1722,69,0.0,1.84,1.48,72.5,220.0,0.1,,,,18,7,25,25.11,0,0
214,Kamada,CRY,MID,5.0,a,,,,1899,67,0.0,1.64,3.24,74.5,208.0,0.3,,,4,22,6,28,26.04,0,0
215,Devenny,CRY,MID,5.0,a,,,,785,36,0.0,2.38,0.39,38.4,72.0,0.0,3,2,,7,1,15,14.71,0,0
216,Esse,CRY,MID,5.0,a,,,,40,4,0.0,0.0,0.04,1.5,5.0,0.0,,,,0,0,0,1.74,0,0
217,M.França,CRY,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
218,Doucouré,CRY,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
219,J.Rak-Sakyi,CRY,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
220,Cardines,CRY,DEF,4.5,u,0,Has joined Bristol City on loan for the rest of the season,2026-08-12T14:08:46.501813+00:00,90,2,0.0,0.02,0.16,4.9,7.0,0.0,,,,1,0,2,2.53,0,0
221,Drakes-Thomas,CRY,MID,4.5,a,,,,7,2,0.0,0.0,0.0,0.3,3.0,0.1,,,,0,0,1,0.73,0,0
222,Strand Larsen,CRY,FWD,6.0,a,,,,2301,75,0.0,5.3,1.12,91.5,95.0,0.6,,,,26,5,41,36.03,0,0
223,Mateta,CRY,FWD,6.5,a,,,,2210,114,0.0,14.42,1.32,150.8,125.0,5.7,1,,,25,8,29,31.77,0,0
224,Nketiah,CRY,FWD,5.5,a,,,,414,23,0.0,1.77,0.46,37.8,38.0,0.5,,,,2,0,12,9.49,0,0
225,Uche,CRY,FWD,5.0,u,0,has returned to Getafe CF,2026-07-23T12:18:56.275922+00:00,159,17,0.0,0.49,0.01,8.8,13.0,0.0,,,,0,0,4,4.63,0,0
226,Pickford,EVE,GKP,5.5,a,,,,3420,135,0.0,0.0,0.2,90.8,0.0,8.0,,,,38,11,50,56.24,100,0
227,Travers,EVE,GKP,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
228,King,EVE,GKP,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
229,Tarkowski,EVE,DEF,6.0,a,,,,3330,170,0.0,2.53,2.1,165.7,376.0,8.8,,,,37,11,48,53.54,0,0
230,Branthwaite,EVE,DEF,5.5,a,,,,678,32,0.0,0.34,0.11,29.3,67.0,1.6,,,,7,1,9,9.43,0,0
231,Keane,EVE,DEF,5.0,a,,,,2588,131,0.0,2.3,0.49,111.7,302.0,1.7,,,,29,7,42,44.52,0,0
232,O'Brien,EVE,DEF,5.0,a,,,,3118,116,0.0,1.67,1.0,107.5,231.0,0.5,,,,35,10,46,53.49,0,0
233,Mykolenko,EVE,DEF,4.5,a,,,,2959,95,0.0,0.28,2.46,102.3,231.0,1.5,,,,33,9,47,48.41,0,0
234,Patterson,EVE,DEF,4.5,a,,,,238,22,0.0,0.03,0.04,8.8,31.0,0.0,,,,3,2,2,3.67,0,0
235,Aznou,EVE,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
236,Dewsbury-Hall,EVE,MID,6.5,a,,,,2629,151,0.0,4.35,5.34,166.0,230.0,3.3,,,2,30,8,39,40.38,0,0
237,Ndiaye,EVE,MID,6.0,a,,,,2781,128,0.0,6.68,4.41,166.5,283.0,16.0,1,,,32,8,44,42.68,0,0
238,Grealish,MCI,MID,6.5,a,100,,2026-07-29T10:00:10.492904+00:00,1627,79,0.0,2.05,3.37,129.2,135.0,0.2,,,,18,7,23,25.81,0,0
239,Garner,EVE,MID,6.0,i,0,Groin injury - Unknown return date,2026-07-25T14:30:10.455878+00:00,3413,159,0.0,2.1,6.18,208.4,458.0,0.2,3,1,1,38,11,50,56.18,0,0
240,Iroegbunam,EVE,MID,5.0,i,0,Thigh injury - Unknown return date,2026-08-15T20:00:06.878792+00:00,1477,68,0.0,0.54,0.71,45.9,189.0,0.0,,,,17,8,18,24.64,0,0
241,McNeil,CRY,MID,5.5,a,,,,1161,53,0.0,1.37,1.91,52.2,111.0,0.2,,,,14,6,9,18.8,0,0
242,George,EVE,MID,5.5,a,,,,351,16,0.0,0.64,1.19,23.9,23.0,0.3,,,,1,1,9,6.49,0,0
243,Alcaraz,EVE,MID,5.0,a,,,,679,29,0.0,1.17,0.54,41.8,70.0,0.1,,,,6,3,10,13.56,0,0
244,Armstrong,EVE,MID,5.0,a,,,,524,21,0.0,0.79,0.22,21.0,50.0,0.1,,,,6,1,11,10.93,0,0
245,Dibling,EVE,MID,5.5,a,,,,349,18,0.0,0.2,0.14,13.6,40.0,0.0,,,,4,2,2,6.65,0,0
246,Röhl,EVE,MID,5.0,a,,,,675,36,0.0,0.67,0.35,26.3,68.0,0.1,,,,6,2,13,13.31,0,0
247,Hackney,EVE,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,,,,0,0,0,0.0,0,0
248,Beto,EVE,FWD,5.5,a,,,,1551,104,0.0,8.9,0.23,124.5,89.0,2.8,4,,,17,5,19,24.16,0,0
249,Barry,EVE,FWD,5.5,a,,,,1898,95,0.0,8.17,0.44,102.5,74.0,1.3,2,,,21,7,34,33.49,0,0
250,Leno,FUL,GKP,4.5,a,,,,3420,122,0.0,0.0,0.02,81.5,0.0,3.1,,,,38,9,51,52.73,98,0
251,Lecomte,FUL,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.3,,,,0,0,0,0.0,0,0
252,McNally,FUL,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
253,Andersen,FUL,DEF,5.0,s,0,Suspended until 30 Aug,2026-07-23T12:01:23.516350+00:00,2882,123,0.0,1.43,1.83,107.0,329.0,0.0,,,,33,8,45,44.88,0,0
254,Robinson,FUL,DEF,4.5,a,,,,1487,65,0.0,1.07,1.58,79.3,136.0,1.7,2,,,17,4,19,24.12,0,0
255,J.Cuenca,FUL,DEF,4.5,a,,,,935,39,0.0,0.05,0.53,31.2,117.0,0.0,,,,11,2,11,14.7,0,0
256,Tete,FUL,DEF,4.5,a,,,,1791,81,0.0,0.92,1.46,73.9,165.0,0.3,,,,21,6,25,25.79,0,0
257,Bassey,FUL,DEF,4.5,a,,,,2532,103,0.0,1.71,0.35,84.5,205.0,0.7,,,,28,7,40,38.01,0,0
258,Castagne,FUL,DEF,4.5,a,,,,1838,61,0.0,1.5,1.47,86.2,146.0,0.3,,,,20,3,31,32.66,0,0
259,Diop,IPS,DEF,4.0,a,,,,812,31,0.0,0.8,0.05,23.0,61.0,18.3,,,,8,1,13,12.42,0,0
260,Wilson,LEE,MID,6.5,a,,,,2674,168,0.0,5.88,4.77,196.9,177.0,6.6,,,2,32,9,38,40.14,0,0
261,Iwobi,FUL,MID,5.5,a,,,,2420,103,0.0,1.91,4.7,159.4,188.0,1.0,3,1,1,29,5,40,35.7,0,0
262,Smith Rowe,FUL,MID,5.5,a,,,,1909,80,0.0,4.71,1.12,102.6,148.0,0.4,,,,22,6,27,31.27,0,0
263,Kevin,FUL,MID,5.5,a,,,,1030,49,0.0,1.21,1.47,70.4,86.0,0.1,,,3,9,4,15,14.57,0,0
264,Bobb,FUL,MID,5.5,a,,,,1030,42,0.0,1.47,2.1,66.4,76.0,0.3,,,2,11,4,13,12.71,0,0
265,Berge,FUL,MID,5.0,a,,,,2904,91,0.0,1.54,1.5,91.0,280.0,0.4,,,,34,8,45,43.09,0,0
266,Cairney,FUL,MID,5.0,i,0,Knee injury - Expected back 10 Oct,2026-08-14T18:00:06.460944+00:00,756,41,0.0,1.21,0.81,41.4,61.0,0.0,,,,6,2,10,11.67,0,0
267,Lukić,IPS,MID,5.0,a,,,,1730,67,0.0,2.23,1.91,93.4,183.0,0.1,,,4,20,6,22,27.64,0,0
268,King,FUL,MID,5.5,a,,,,1290,63,0.0,2.47,0.66,73.3,107.0,0.2,,,,15,5,18,18.97,0,0
269,Sessegnon,FUL,DEF,4.5,a,,,,1816,95,0.0,1.6,1.8,86.7,218.0,0.4,,,,20,6,29,26.33,0,0
270,Reed,FUL,MID,4.5,a,,,,89,15,0.0,0.13,0.45,9.7,6.0,1.5,,,,1,0,4,3.43,0,0
271,Muniz,FUL,FWD,5.5,a,,,,987,36,0.0,3.3,0.15,47.3,52.0,0.6,,,,10,3,13,13.83,0,0
272,Kusi-Asare,FUL,FWD,4.5,a,,,,49,6,0.0,0.0,0.07,2.3,5.0,7.5,,,,0,0,2,1.1,0,0
273,Phillips,HUL,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.6,,,,0,0,0,0.0,0,0
274,Butland,HUL,GKP,4.5,i,0,Arm injury - Unknown return date,2026-08-08T19:00:05.601633+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
275,Cartwright,HUL,GKP,4.0,u,0,Has joined Grimsby Town on loan for the rest of the season,2026-07-29T13:00:27.959925+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
276,Lo-Tutala,HUL,GKP,4.0,u,0,Has joined Colchester United on loan for the rest of the season,2026-08-17T13:50:27.125537+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
277,Egan,HUL,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.6,,,,0,0,0,0.0,0,0
278,Hughes,HUL,DEF,4.0,i,0,Groin injury - Unknown return date,2026-08-02T09:00:11.030017+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
279,Ajayi,HUL,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.9,,,,0,0,0,0.0,0,0
280,Coyle,HUL,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.7,,,,0,0,0,0.0,0,0
281,Drameh,HUL,DEF,4.0,a,100,,2026-08-08T19:00:05.613036+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
282,Giles,HUL,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.8,,1,1,0,0,0,0.0,0,0
283,Jacob,HUL,DEF,4.0,i,0,Hip injury - Expected back 29 Aug,2026-08-02T09:00:11.038361+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
284,McCarthy,HUL,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
285,McNair,HUL,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
286,Belloumi,HUL,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.4,,2,3,0,0,0,0.0,0,0
287,Millar,HUL,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
288,Dowell,HUL,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.4,,,,0,0,0,0.0,0,0
289,Crooks,HUL,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.6,,,,0,0,0,0.0,0,0
290,Slater,HUL,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,2.9,,,2,0,0,0,0.0,0,0
291,Matazo,HUL,MID,4.5,i,0,Knee injury - Unknown return date,2026-07-23T12:01:23.532635+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
292,Ömür,HUL,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
293,Kamara,HUL,MID,5.0,u,0,Has joined Portsmouth permanently,2026-08-12T14:08:23.542043+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
294,Zambrano,HUL,MID,4.5,i,0,Thigh injury - Unknown return date,2026-08-04T18:30:11.016909+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
295,McBurnie,HUL,FWD,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.3,1,,,0,0,0,0.0,0,0
296,Akintola,HUL,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
297,Gyabi,HUL,MID,4.5,i,0,Thigh injury - Unknown return date,2026-08-04T18:30:11.027155+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
298,Destan,HUL,FWD,4.5,u,0,Has joined Konyaspor permanently,2026-08-17T13:50:27.145733+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.6,,,,0,0,0,0.0,0,0
299,Burstow,HUL,FWD,4.5,u,0,Has joined Sheffield Wednesday on loan for the rest of the season,2026-08-03T14:05:20.234842+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
300,Walton,IPS,GKP,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.6,,,,0,0,0,0.0,0,0
301,Palmer,IPS,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,4.9,,,,0,0,0,0.0,0,0
302,Button,IPS,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.5,,,,0,0,0,0.0,0,0
303,Kipré,IPS,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.7,,,,0,0,0,0.0,0,0
304,O'Shea,IPS,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,3.4,,,,0,0,0,0.0,0,0
305,Davis,IPS,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,5.3,,2,2,0,0,0,0.0,0,0
306,Greaves,IPS,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.4,,,,0,0,0,0.0,0,0
307,Johnson,IPS,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
308,Furlong,IPS,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.6,,,,0,0,0,0.0,0,0
309,Núñez,IPS,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,1,1,0,0,0,0.0,0,0
310,Matusiwa,IPS,MID,5.0,i,0,Muscular injury - Unknown return date,2026-07-29T18:00:10.305484+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
311,Burns,IPS,MID,5.0,u,0,Has joined Leicester City permanently,2026-08-10T14:02:47.597478+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
312,Taylor,IPS,MID,4.5,i,0,Knee injury - Unknown return date,2026-07-29T18:00:10.319370+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
313,Clarke,IPS,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,1,3,3,0,0,0,0.0,0,0
314,Ogbene,IPS,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
315,Fatawu,IPS,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
316,Emersonn,IPS,FWD,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.4,2,,,0,0,0,0.0,0,0
317,Hirst,IPS,FWD,5.0,u,0,Has joined Stoke City permanently,2026-08-21T13:06:08.606019+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.4,3,,,0,0,0,0.0,0,0
318,Philogene,IPS,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,4,,5,0,0,0,0.0,0,0
319,Szmodics,IPS,MID,5.0,u,0,Has joined Derby County on loan for the rest of the season,2026-08-17T13:51:41.713979+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
320,Akpom,IPS,FWD,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.5,,,,0,0,0,0.0,0,0
321,Walle Egeli,IPS,FWD,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,2.2,,,,0,0,0,0.0,0,0
322,Al-Hamadi,IPS,FWD,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
323,McAteer,IPS,MID,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.5,,,,0,0,0,0.0,0,0
324,Mehmeti,IPS,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
325,Darlow,MUN,GKP,4.5,d,75,Unspecified injury - 75% chance of playing,2026-07-23T12:01:23.549136+00:00,1980,71,0.0,0.0,0.05,53.4,0.0,0.0,,,,22,5,27,28.36,63,0
326,Perri,LEE,GKP,4.5,a,,,,1440,43,0.0,0.0,0.0,32.2,0.0,0.6,,,,16,3,29,26.68,38,0
327,Bijol,LEE,DEF,5.0,a,,,,1888,99,0.0,0.9,0.75,86.0,219.0,0.3,,,,21,5,26,31.48,0,0
328,Struijk,BHA,DEF,5.0,a,100,,2026-08-15T20:30:07.523574+00:00,2935,108,0.0,3.06,0.76,113.1,297.0,0.2,,,,33,7,48,42.92,0,0
329,Rodon,LEE,DEF,4.5,a,,,,2952,109,0.0,1.4,0.56,109.1,274.0,3.2,,,,33,6,53,48.54,0,0
330,Bogle,LEE,DEF,4.5,a,,,,2795,96,0.0,2.08,3.11,100.3,178.0,0.5,,,,32,6,44,39.93,0,0
331,Gudmundsson,LEE,DEF,4.5,i,0,Hamstring injury - Unknown return date,2026-08-08T20:00:07.546568+00:00,2637,68,0.0,1.1,2.89,96.4,184.0,0.1,,,,31,5,45,41.06,0,0
332,Justin,LEE,DEF,4.5,a,,,,1893,94,0.0,1.83,1.16,88.3,183.0,0.6,,,,21,6,26,33.01,0,0
333,Bornauw,LEE,DEF,4.5,u,0,Has joined Hamburg SV on loan for the rest of the season,2026-08-19T13:56:14.645970+00:00,429,25,0.0,0.2,0.01,12.2,49.0,0.0,,,,5,2,5,8.71,0,0
334,Muharemović,LEE,DEF,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,3.5,,,,0,0,0,0.0,0,0
335,Stach,LEE,MID,6.0,a,,,,2369,137,0.0,2.88,4.47,188.8,266.0,0.9,,1,1,28,7,36,34.05,0,0
336,Okafor,LEE,MID,6.0,a,,,,1553,109,0.0,5.25,1.32,115.0,113.0,0.5,,,,19,6,26,24.54,0,0
337,Aaronson,LEE,MID,5.5,a,,,,2449,126,0.0,4.53,3.6,146.7,216.0,1.0,,3,,30,9,32,37.07,0,0
338,Ampadu,LEE,MID,5.5,a,,,,3119,134,0.0,2.47,2.2,114.7,416.0,1.5,,,,35,8,49,48.66,0,0
339,Longstaff,LEE,MID,5.0,a,,,,1003,56,0.0,1.23,1.87,81.2,110.0,0.1,,2,3,10,1,20,15.88,0,0
340,Gelhardt,HUL,MID,5.0,i,0,Ankle injury - Expected back 5 Sep,2026-08-17T21:30:07.799839+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
341,Gnonto,LEE,MID,5.0,i,0,Hamstring injury - Unknown return date,2026-08-17T20:30:08.092366+00:00,521,32,0.0,0.4,0.77,27.5,59.0,0.0,,,,4,1,14,11.99,0,0
342,Harrison,LEE,MID,5.0,u,0,Has joined New England Revolution permanently,2026-07-28T12:59:09.492431+00:00,262,12,0.0,0.28,0.23,11.5,24.0,0.0,,,,1,0,5,3.82,0,0
343,James,LEE,MID,5.0,a,,,,547,23,0.0,0.91,0.71,33.9,35.0,0.1,,,,6,1,16,14.39,0,0
344,Gruev,LEE,MID,5.0,i,0,Knee injury - Unknown return date,2026-08-14T23:00:06.272027+00:00,1318,56,0.0,0.49,0.86,43.2,114.0,0.0,,,,15,5,23,25.27,0,0
345,Tanaka,LEE,MID,5.0,a,,,,1307,67,0.0,1.44,1.39,63.6,147.0,0.3,,,4,14,3,22,21.49,0,0
346,Calvert-Lewin,LEE,FWD,6.0,a,,,,2721,142,0.0,15.57,1.06,194.7,105.0,30.9,1,,,30,8,34,35.74,0,0
347,Nmecha,LEE,FWD,5.5,a,,,,1065,73,0.0,7.25,1.58,87.8,57.0,0.6,2,,,10,3,23,21.84,0,0
348,Piroe,LEE,FWD,5.0,u,0,Has joined West Ham United on loan for the rest of the season,2026-08-19T13:56:14.666726+00:00,244,17,0.0,0.9,0.13,16.5,14.0,0.2,3,,,2,1,9,6.81,0,0
349,Mateo Joseph,LEE,FWD,4.5,i,0,Knee injury - Unknown return date,2026-07-29T18:00:10.338170+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
350,A.Becker,LIV,GKP,5.5,a,,,,2340,91,0.0,0.0,0.03,47.8,0.0,3.5,,,,26,8,31,29.58,57,0
351,Mamardashvili,LIV,GKP,5.0,a,,,,867,34,0.0,0.0,0.0,27.5,0.0,0.2,,,,10,2,18,13.29,34,0
352,Woodman,LIV,GKP,4.0,a,,,,212,6,0.0,0.0,0.0,8.4,0.0,1.1,,,,2,0,4,4.76,9,0
353,Pecsi,LIV,GKP,4.0,u,0,Has joined TSV Hartberg on loan for the rest of the season,2026-08-18T14:11:18.638344+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
354,Jaros,LIV,GKP,4.0,i,0,Knee injury - Unknown return date,2026-07-29T18:00:10.351066+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
355,Davies,LIV,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
